Justice,Appointing President,Party Affiliation
HL Black,FDR,Democratic
SF Reed,FDR,Democratic
F Frankfurter,FDR,Democratic
WO Douglas,FDR,Democratic
F Murphy,FDR,Democratic
RH Jackson,FDR,Democratic
WB Rutledge,FDR,Democratic
HH Burton,Truman,Republican
FM Vinson,Truman,Democratic
TC Clark,Truman,Democratic
S Minton,Truman,Democratic
E Warren,Eisenhower,Republican
J Harlan II,Eisenhower,Republican
WJ Brennan,Eisenhower,Democratic
CE Whittaker,Eisenhower,Republican
P Stewart,Eisenhower,Republican
BR White,Kennedy,Democratic
AJ Goldberg,Kennedy,Democratic
A Fortas,LBJ,Democratic
T Marshall,LBJ,Democratic
WE Burger,Nixon,Republican
HA Blackmun,Nixon,Republican
LF Powell,Nixon,Republican
WH Rehnquist,Nixon,Republican
JP Stevens,Ford,Republican
SD Oâ€™Connor,Reagan,Republican
A Scalia,Reagan,Republican
AM Kennedy,Reagan,Republican
DH Souter,G.H.W. Bush,Republican
C Thomas,G.H.W. Bush,Republican
RBGinsburg,Clinton,Democratic
SG Breyer,Clinton,Democratic
JG Roberts,G.W. Bush,Republican
SA Alito,G.W. Bush,Republican
SS Sotomayor,Obama,Democratic
E Kagan,Obama,Democratic
NM Gorsuch,Trump,Republican
BM Kavanaugh,Trump,Republican
AC Barrett,Trump,Republican
KB Jackson,Biden,Democratic